2025-02-28 10:29:11.462 [info] Starting Python Locator /home/kraoshin/.vscode-server/extensions/ms-python.python-2025.0.0-linux-x64/python-env-tools/bin/pet server
2025-02-28 10:29:11.462 [info] Discovered env: /usr/bin/python3
2025-02-28 10:29:11.465 [info] Discovered env: /bin/python3
2025-02-28 10:29:11.527 [info] Resolved Python Environment /home/kraoshin/holbertonschool-hbnb/part2/bin/python
2025-02-28 10:29:15.498 [info] Locator Conda took 4.627222973s
2025-02-28 10:29:15.498 [info] Locator Homebrew took 709.918µs
2025-02-28 10:29:15.498 [info] Locator LinuxGlobal took 72.794675ms
2025-02-28 10:29:15.498 [info] Locator PipEnv took 35.753µs
2025-02-28 10:29:15.498 [info] Locator Poetry took 42.363069ms
2025-02-28 10:29:15.498 [info] Locator PyEnv took 42.897233ms
2025-02-28 10:29:15.498 [info] Locator Venv took 80.014µs
2025-02-28 10:29:15.498 [info] Locator VirtualEnv took 31.655µs
2025-02-28 10:29:15.498 [info] Locator VirtualEnvWrapper took 259.028µs
2025-02-28 10:29:15.498 [info] Locator GlobalVirtualEnvs took 2.037174ms
2025-02-28 10:29:15.498 [info] Locator Locators took 4.628361646s
2025-02-28 10:29:15.498 [info] Locator Path took 374.939091ms
2025-02-28 10:29:15.498 [info] Locator Workspaces took 20.159253ms
2025-02-28 10:29:15.498 [info] Refresh completed in 4628ms
2025-02-28 10:30:43.262 [info] Resolved Python Environment /home/kraoshin/venv/bin/python
2025-02-28 10:30:43.302 [info] Resolved Python Environment /home/kraoshin/holbertonschool-hbnb/part2/bin/python
2025-02-28 10:31:43.300 [info] Resolved Python Environment /home/kraoshin/holbertonschool-hbnb/part2/bin/python
2025-02-28 10:34:02.351 [info] Resolved Python Environment /home/kraoshin/holbertonschool-hbnb/part2/bin/python
2025-02-28 10:34:39.706 [info] Resolved Python Environment /home/kraoshin/holbertonschool-hbnb/bin/python
2025-02-28 10:34:39.746 [info] Resolved Python Environment /home/kraoshin/holbertonschool-hbnb/part2/bin/python
2025-02-28 10:37:12.353 [info] Resolved Python Environment /home/kraoshin/holbertonschool-hbnb/part2/bin/python
