2025-01-28 10:43:20.928 [info] Starting Python Locator /home/kraoshin/.vscode-server/extensions/ms-python.python-2024.22.2-linux-x64/python-env-tools/bin/pet server
2025-01-28 10:43:21.669 [info] Discovered env: /bin/python3
2025-01-28 10:43:21.685 [info] Discovered env: /usr/bin/python3
2025-01-28 10:43:22.606 [info] Resolved Python Environment /bin/python3
2025-01-28 10:43:24.363 [info] Locator Conda took 4.574812903s
2025-01-28 10:43:24.364 [info] Locator Homebrew took 141.572µs
2025-01-28 10:43:24.364 [info] Locator LinuxGlobal took 46.124605ms
2025-01-28 10:43:24.364 [info] Locator PipEnv took 13.254µs
2025-01-28 10:43:24.364 [info] Locator Poetry took 26.926023ms
2025-01-28 10:43:24.364 [info] Locator PyEnv took 23.492176ms
2025-01-28 10:43:24.364 [info] Locator Venv took 173.696µs
2025-01-28 10:43:24.364 [info] Locator VirtualEnv took 18.434µs
2025-01-28 10:43:24.364 [info] Locator VirtualEnvWrapper took 11.412µs
2025-01-28 10:43:24.364 [info] Locator GlobalVirtualEnvs took 551.123µs
2025-01-28 10:43:24.364 [info] Locator Locators took 4.575157099s
2025-01-28 10:43:24.364 [info] Locator Path took 348.015805ms
2025-01-28 10:43:24.364 [info] Locator Workspaces took 6.383532ms
2025-01-28 10:43:24.364 [info] Refresh completed in 4575ms
2025-01-28 10:46:58.296 [info] Resolved Python Environment /bin/python3
2025-01-28 10:47:47.559 [info] Resolved Python Environment /bin/python3
2025-01-28 10:48:25.421 [info] Resolved Python Environment /bin/python3
2025-01-28 10:48:58.145 [info] Resolved Python Environment /bin/python3
2025-01-28 10:50:06.193 [info] Resolved Python Environment /bin/python3
2025-01-28 10:50:47.756 [info] Resolved Python Environment /bin/python3
2025-01-28 10:52:43.737 [info] Resolved Python Environment /bin/python3
2025-01-28 10:54:16.447 [info] Resolved Python Environment /bin/python3
2025-01-28 10:54:49.887 [info] Resolved Python Environment /bin/python3
2025-01-28 10:57:29.988 [info] Resolved Python Environment /bin/python3
2025-01-28 11:01:26.260 [info] Resolved Python Environment /bin/python3
2025-01-28 11:02:14.209 [info] Resolved Python Environment /bin/python3
2025-01-28 11:03:40.815 [info] Resolved Python Environment /bin/python3
2025-01-28 11:05:06.307 [info] Resolved Python Environment /bin/python3
2025-01-28 11:10:11.360 [info] Resolved Python Environment /bin/python3
2025-01-28 11:13:39.027 [info] Resolved Python Environment /bin/python3
2025-01-28 11:14:32.277 [info] Resolved Python Environment /bin/python3
2025-01-28 11:15:45.870 [info] Resolved Python Environment /bin/python3
2025-01-28 11:17:05.340 [info] Resolved Python Environment /bin/python3
2025-01-28 11:23:11.715 [info] Resolved Python Environment /bin/python3
2025-01-28 11:24:45.762 [info] Resolved Python Environment /bin/python3
2025-01-28 11:26:54.787 [info] Resolved Python Environment /bin/python3
2025-01-28 11:28:17.333 [info] Resolved Python Environment /bin/python3
2025-01-28 11:28:52.997 [info] Resolved Python Environment /bin/python3
2025-01-28 11:31:18.003 [info] Resolved Python Environment /bin/python3
2025-01-28 11:31:56.608 [info] Resolved Python Environment /bin/python3
2025-01-28 11:34:37.525 [info] Resolved Python Environment /bin/python3
2025-01-28 11:35:33.172 [info] Resolved Python Environment /bin/python3
2025-01-28 11:40:46.044 [info] Resolved Python Environment /bin/python3
2025-01-28 11:42:22.215 [info] Resolved Python Environment /bin/python3
2025-01-28 11:43:12.323 [info] Resolved Python Environment /bin/python3
2025-01-28 11:44:32.644 [info] Resolved Python Environment /bin/python3
2025-01-28 11:45:36.457 [info] Resolved Python Environment /bin/python3
2025-01-28 11:46:34.624 [info] Resolved Python Environment /bin/python3
2025-01-28 11:50:28.313 [info] Resolved Python Environment /bin/python3
